StationNames,Year,Month,Rainfall,StationIndex
Mymensingh,1970,1,23,22
Mymensingh,1970,2,0,22
Mymensingh,1970,3,6,22
Mymensingh,1970,4,117,22
Mymensingh,1970,5,176,22
Mymensingh,1970,6,570,22
Mymensingh,1970,7,323,22
Mymensingh,1970,8,207,22
Mymensingh,1970,9,242,22
Mymensingh,1970,10,274,22
Mymensingh,1970,11,8,22
Mymensingh,1970,12,0,22
Rangamati,1970,1,6,25
Rangamati,1970,2,54,25
Rangamati,1970,3,15,25
Rangamati,1970,4,38,25
Rangamati,1970,5,111,25
Rangamati,1970,6,274,25
Rangamati,1970,7,1276,25
Rangamati,1970,8,326,25
Rangamati,1970,9,200,25
Rangamati,1970,10,155,25
Rangamati,1970,11,109,25
Rangamati,1970,12,0,25
Rangpur,1970,1,29,26
Rangpur,1970,2,6,26
Rangpur,1970,3,5,26
Rangpur,1970,4,39,26
Rangpur,1970,5,162,26
Rangpur,1970,6,527,26
Rangpur,1970,7,503,26
Rangpur,1970,8,440,26
Rangpur,1970,9,242,26
Rangpur,1970,10,39,26
Rangpur,1970,11,5,26
Rangpur,1970,12,0,26
Sandwip,1970,1,0,27
Sandwip,1970,2,27,27
Sandwip,1970,3,57,27
Sandwip,1970,4,231,27
Sandwip,1970,5,150,27
Sandwip,1970,6,327,27
Sandwip,1970,7,812,27
Sandwip,1970,8,597,27
Sandwip,1970,9,282,27
Sandwip,1970,10,428,27
Sandwip,1970,11,148,27
Sandwip,1970,12,0,27
Satkhira,1970,1,0,28
Satkhira,1970,2,47,28
Satkhira,1970,3,22,28
Satkhira,1970,4,4,28
Satkhira,1970,5,59,28
Satkhira,1970,6,296,28
Satkhira,1970,7,356,28
Satkhira,1970,8,274,28
Satkhira,1970,9,377,28
Satkhira,1970,10,0,28
Satkhira,1970,11,9,28
Satkhira,1970,12,0,28
Srimangal,1970,1,36,30
Srimangal,1970,2,6,30
Srimangal,1970,3,97,30
Srimangal,1970,4,79,30
Srimangal,1970,5,79,30
Srimangal,1970,6,418,30
Srimangal,1970,7,657,30
Srimangal,1970,8,267,30
Srimangal,1970,9,420,30
Srimangal,1970,10,213,30
Srimangal,1970,11,31,30
Srimangal,1970,12,0,30
Sylhet,1970,1,62,31
Sylhet,1970,2,65,31
Sylhet,1970,3,60,31
Sylhet,1970,4,466,31
Sylhet,1970,5,851,31
Sylhet,1970,6,955,31
Sylhet,1970,7,1076,31
Sylhet,1970,8,662,31
Sylhet,1970,9,622,31
