Year,Chittagong (City-Ambagan),Barisal,Bhola,Bogra,Chandpur,Chittagong (IAP-Patenga),Chuadanga,Cox's Bazar,Comilla,Dhaka,Dinajpur,Faridpur,Feni,Hatiya,Ishurdi,Jessore,Khepupara,Khulna,Kutubdia,Madaripur,Maijdee Court,Mongla,Mymensingh,Patuakhali,Rajshahi,Rangamati,Rangpur,Sandwip,Satkhira,Sayedpur,Sitakunda,Srimangal,Sylhet,Tangail,Teknaf
2004,0.482177,0.271419,0.41807,0.259213,0.310968,0.482177,0.290428,0.454924,0.423301,0.271419,0.303565,0.229267,0.447754,0.522149,0.247626,0.282964,0.459454,0.283052,0.433716,0.333089,0.549845,0.442763,0.380831,0.505635,0.227286,0.593554,0.295298,0.380078,0.20476,0.303565,0.580479,0.446925,0.336037,0.293107,0.335355
2005,0.310369,0.279332,0.302726,0.325343,0.263556,0.310369,0.378164,0.35575,0.291242,0.279332,0.351685,0.235055,0.287522,0.350726,0.299577,0.402539,0.316938,0.260983,0.320414,0.296697,0.418576,0.350615,0.300312,0.356354,0.293916,0.449523,0.362974,0.2577,0.316934,0.351685,0.412382,0.349281,0.289919,0.27652,0.25727
2006,0.389836,0.341453,0.288187,0.353774,0.293521,0.389836,0.324096,0.417708,0.329323,0.341453,0.284208,0.296767,0.35322,0.42151,0.319722,0.326826,0.327289,0.261816,0.374366,0.3477,0.495441,0.341429,0.465848,0.359241,0.277358,0.510211,0.284742,0.28903,0.260475,0.284208,0.459478,0.399882,0.32798,0.357261,0.322934
2007,0.462103,0.311205,0.494188,0.465163,0.381375,0.462103,0.41472,0.425322,0.495074,0.311205,0.386991,0.247349,0.455941,0.503824,0.34496,0.430746,0.570787,0.316104,0.432488,0.384248,0.503176,0.464083,0.509928,0.585195,0.329,0.559893,0.350039,0.352862,0.328297,0.386991,0.55183,0.488342,0.266242,0.3384,0.274052
2008,0.5441,0.365447,0.460069,0.486683,0.405738,0.5441,0.404435,0.48491,0.543946,0.365447,0.467445,0.322169,0.573099,0.59643,0.373518,0.436568,0.379569,0.325049,0.479249,0.416795,0.640372,0.36581,0.549681,0.459713,0.357663,0.649093,0.466611,0.426896,0.312853,0.467445,0.663254,0.536697,0.407555,0.418905,0.380526
2009,0.472574,0.327269,0.383496,0.338115,0.355539,0.472574,0.340764,0.424575,0.439397,0.327269,0.423285,0.262866,0.455386,0.512686,0.2879,0.347039,0.320744,0.271603,0.435183,0.384587,0.569184,0.306336,0.49608,0.391406,0.290467,0.593766,0.355721,0.378382,0.237969,0.423285,0.584314,0.427993,0.361352,0.327128,0.351603
2010,0.472574,0.327269,0.383496,0.338115,0.355539,0.472574,0.340764,0.424575,0.439397,0.327269,0.423285,0.262866,0.455386,0.512686,0.2879,0.347039,0.320744,0.271603,0.435183,0.384587,0.569184,0.306336,0.49608,0.391406,0.290467,0.593766,0.355721,0.378382,0.237969,0.423285,0.584314,0.427993,0.361352,0.327128,0.351603
2011,0.40289,0.356011,0.475271,0.446811,0.396301,0.40289,0.411019,0.398186,0.492825,0.356011,0.366263,0.305283,0.414335,0.44561,0.343822,0.446717,0.547237,0.294143,0.370169,0.41295,0.465112,0.37695,0.514306,0.591262,0.332606,0.483411,0.376547,0.320903,0.29393,0.366263,0.488256,0.505693,0.42285,0.397641,0.329694
2012,0.325163,0.32638,0.365792,0.476208,0.37886,0.325163,0.384148,0.330304,0.451792,0.32638,0.362776,0.295854,0.407754,0.429735,0.38676,0.415883,0.300543,0.280836,0.32826,0.436097,0.430564,0.28005,0.439722,0.374434,0.346381,0.426679,0.217853,0.268889,0.29311,0.362776,0.443453,0.281278,0.303896,0.374232,0.250857
2013,0.572437,0.36608,0.457305,0.316891,0.39516,0.572437,0.378078,0.519929,0.559928,0.36608,0.434253,0.3109,0.51739,0.632599,0.327913,0.488599,0.534505,0.346587,0.528793,0.408534,0.547084,0.338359,0.543321,0.572565,0.33421,0.65011,0.418641,0.439362,0.360984,0.434253,0.624132,0.590473,0.463119,0.39074,0.409548
2014,0.50647,0.364349,0.480777,0.477644,0.402719,0.50647,0.419417,0.496384,0.508605,0.364349,0.48317,0.364427,0.461347,0.515912,0.362465,0.471297,0.529484,0.352667,0.473497,0.52349,0.486236,0.428457,0.349247,0.610298,0.336807,0.541709,0.482467,0.375245,0.333053,0.48317,0.510669,0.471085,0.405882,0.351412,0.381329
2015,0.556683,0.386388,0.421457,0.504543,0.41731,0.556683,0.140568,0.527212,0.531946,0.386388,0.508469,0.386342,0.564868,0.630423,0.375829,0.198613,0.548272,0.343149,0.495812,0.461417,0.604424,0.448572,0.450086,0.552551,0.417555,0.653359,0.458933,0.449266,0.0785441,0.508469,0.686231,0.551185,0.403197,0.404945,0.430239
2016,0.598434,0.388067,0.44928,0.471006,0.414797,0.598434,0.460434,0.560261,0.580314,0.388067,0.497025,0.369005,0.640118,0.693487,0.415661,0.44913,0.578571,0.343628,0.514427,0.435892,0.635957,0.44978,0.506177,0.610894,0.407703,0.690045,0.510919,0.520425,0.277491,0.497025,0.734859,0.577042,0.45485,0.394805,0.472247
2017,0.511757,0.356454,0.414185,0.442592,0.390028,0.511757,0.4474,0.519099,0.498607,0.356454,0.474658,0.370372,0.492812,0.567169,0.362226,0.454227,0.503363,0.336281,0.457231,0.480546,0.585447,0.429871,0.392519,0.500929,0.358801,0.603395,0.423921,0.386264,0.271704,0.474658,0.606791,0.497858,0.378258,0.380217,0.432348
