Year,Station,TempJan,TempFeb,TempMar,TempApr,TempMay,TempJun,TempJul,TempAug,TempSep,TempOct,TempNov,TempDec
2018,1,25.5233797776524,28.54164022601444,32.19585072701947,33.528713366626185,33.4200382778309,32.765641330744685,32.03979493520015,32.197575548283204,32.34667739226617,32.11918227781213,31.037564940297933,29.256362028225823
2018,2,26.3118719654511,29.33367046430599,32.42551147058809,33.5183017019026,33.521800596951124,32.99360156575806,32.182828620427166,32.31587855309145,32.447497580677855,32.26051301973378,31.079939017902497,29.26775250004802
2018,3,25.057786075832755,27.645065200333157,31.499344664495457,33.32076067090057,33.669915203581475,33.119816673295794,32.65528090804625,32.51614649812881,32.52606668453312,32.213630147496495,30.80930131655997,29.38121541788421
2018,4,26.058708502248656,28.78214531153569,32.14733284401647,33.2164926024377,33.409424074522185,32.882914718623624,32.28151249051356,32.384876725327324,32.45986093309054,32.277283823150256,31.211310458708788,29.491219947968343
2018,5,27.442836497317774,29.438793075679197,31.930769599526904,32.71392161376684,32.61651374111312,32.35459387391785,31.627377437724547,32.03527848814641,32.291739648148585,32.23150192737116,31.674342287146256,29.81439427127485
2018,6,27.142827436284577,29.317323544253583,32.06373423555061,33.13167044469979,33.05748697344856,32.46111427175054,31.49760358557508,32.08070634299773,32.31689667927611,32.27239513071533,31.744869313735265,29.983632642167215
2018,7,25.14160188366009,28.608534041880205,32.91316602215822,35.16148437666679,35.10742814331739,34.16842428071404,33.22683268093784,32.89433457346008,33.046853568846714,32.710558639447555,30.858162241116776,28.160819596416385
2018,8,25.933163108173137,28.453724623127858,31.551601766559383,32.638580818878076,32.648905980880876,32.403633639690774,31.845828330926345,32.15844885543645,32.27506326949418,32.0554967012636,30.537130345940575,29.074182402716932
2018,9,28.11473745708765,29.803935407899353,31.884784874696013,32.66296240979026,32.762544477842596,32.34516983765778,30.923305418391273,31.002482772597237,32.20701341721648,32.18938331453637,31.927390330695015,30.430195299897044
2018,10,25.684959778685993,28.564675210433222,32.13019477855841,33.4858911527144,33.56349455301592,32.874826663699785,32.29495304301901,32.34889493340724,32.42923071534869,32.282489518385304,31.385376894438267,29.33035498248502
2018,11,23.5194166131835,26.903051918407332,30.745003175350085,32.579502095726134,33.37690339268069,33.37249178332052,33.045504131405536,32.651506502059824,32.52785068395993,31.7733333397227,30.057668305551633,27.711689072247214
2018,12,25.604899047435786,28.603099691713606,32.34251689028997,33.971844742571875,34.29566282344666,33.39826805771275,32.634208637299615,32.5380762044317,32.5807629481388,32.31294634682803,30.804757475909,28.96625762908786
2018,13,26.50676277051426,29.156533934807083,32.150714707545156,33.05528057773091,32.82973569286494,32.473673668459746,31.3006235031585,31.996060493093893,32.34576738083261,32.24281205765906,31.625669924865466,29.528912376747805
2018,14,26.897227659730497,29.25213883871106,31.846664400985663,32.6246927733172,32.63369406769963,32.19264575701562,30.84803174406694,30.887445230025957,32.23949169691971,32.12670530694129,31.379506681560237,29.559010708299848
2018,15,25.13547338268277,28.07579710711139,32.271839885418636,34.42472183089069,34.827512698306336,33.786787772636735,32.917306098989904,32.66883991940185,32.74211137665578,32.40359402598314,30.596197798108793,28.009500848216344
2018,16,25.683033502636064,29.034268347359387,33.06262039249299,35.34321528589311,35.226132686908734,34.27592380956463,33.08007654205835,32.832349631165826,33.031504175895705,32.95936762652194,31.80365929286017,29.22055605550315
2018,17,26.775984140777375,29.46105670474993,32.545174630403594,33.82587294535218,33.790463536611576,32.73706742767503,31.331073659061488,31.409805519896416,32.45126315899664,32.36420164685256,31.461558650477567,29.45651681712104
2018,18,25.669368857503432,28.815142618160568,32.56980637878039,34.458893717752275,34.814590760127494,33.67798097350448,32.49493831440577,32.46665139230396,32.620242147548055,32.41733167999205,30.925137110038843,28.889350516864244
2018,19,27.039523799624938,29.185750193556395,31.531513305396235,32.50185685438399,32.65291625755339,32.178060675962286,30.984838796189152,30.97416098780853,32.18752214409566,32.14807477467731,31.515280465755257,29.669542767723225
2018,20,25.746034588035045,29.079361116075987,32.666201841674095,33.979615914618115,33.68737923224659,32.904701416158346,32.26877882408686,32.405305938519604,32.52799837564644,32.40419088139979,31.402236561670225,29.4025573417546
2018,21,25.785850764846206,28.92366970216971,31.805532888673103,32.74004514132301,33.11961980810342,32.70612523580734,31.74541544910772,32.20411520927581,32.32337037756122,32.1248922337576,31.049356825869122,29.311607525090075
2018,22,25.832216091541284,29.160819050299875,32.68052468604306,34.314363057228974,34.661502844592476,33.552991980736124,32.24894247778114,32.32629523919977,32.49115794334045,32.27335512843478,30.68325588849422,28.8828261248728
2018,23,25.241071755113474,27.418596281574388,30.896864839458306,31.99440776179117,32.31775356805008,32.32094270957881,32.090308506225306,32.18784678654581,32.22108776635112,31.848031355433303,30.47450865960418,29.404576053725865
2018,25,24.643219785986197,27.99606879160881,32.604932123254486,35.159291178807734,35.17914963909187,34.218921225970725,33.339906385897685,32.93130849260077,32.94840303495869,32.37943444305215,30.542725703006717,28.038163354566244
2018,26,27.380553268783796,29.631725924792832,32.423684444203175,33.2676600058516,33.27143788287742,32.76067483563483,32.39358653238065,32.42910877425971,32.46739134808636,32.22673026564615,31.613373279311727,30.086064457061596
2018,27,24.10658514922955,26.674762936619146,30.435549026240437,32.00075259325897,32.699748695824674,32.79600296906534,32.5588454576656,32.39183566991522,32.287971413981445,31.657691237630846,30.08712475141953,28.758409687711634
2018,28,26.8945560601498,29.124470784686725,31.858450905727356,32.61264432364639,32.47159476168343,31.519732840694463,30.75267916852807,30.843108952770756,32.20664464619517,32.1592700883824,31.331787472168653,29.566477843042126
