Year,Month,BMD,LST
2013,10,31.13880184,27.13596443
2013,11,30.07047619,26.84977327
2013,12,26.49852535,23.46162598
2014,1,24.82940092,22.596677
2014,2,27.27948979,24.67199407
2014,3,32.05880184,28.83997611
2014,4,35.76933333,31.8896245
2014,5,34.83953917,30.34595765
2014,6,32.93057143,27.12463229
2014,7,32.58516129,25.79192708
2014,8,31.96682028,25.85121959
2014,9,32.41514286,26.74838065
2014,10,32.38663594,28.03459957
2014,11,30.44695238,26.85057994
2014,12,26.02239631,23.56789131
2015,1,25.40073733,22.81750128
2015,2,28.69744898,24.8489022
2015,3,32.24258065,29.40355372
2015,4,32.63009524,27.86125191
2015,5,34.14672811,28.09309769
2015,6,32.55361905,26.87994499
2015,7,31.40387097,26.8360767
2015,8,32.16857143,26.27828828
2015,9,32.83247619,28.06998379
2015,10,32.30995392,28.28259746
2015,11,30.33857143,27.14752962
2015,12,26.12506912,23.08266714
2016,1,25.29511521,21.8403029
2016,2,29.65487685,25.31866977
2016,3,32.93336406,28.70942594
2016,4,34.46095238,29.99267841
2016,5,33.70110599,28.4824604
2016,6,33.22,27.38304645
2016,7,31.71253456,26.49334924
2016,8,32.57963134,27.18715389
2016,9,32.83819048,27.09642223
2016,10,32.6724424,28.03680479
2016,11,29.76638095,26.90728913
2016,12,27.75096774,24.70531255
2017,1,26.62820276,23.38505192
2017,2,29.61836735,26.00469454
2017,3,30.34211982,27.00994502
2017,4,32.50450476,27.5168629
2017,5,34.23336405,28.62600669
2017,6,32.96942857,27.57361693
2017,7,31.71107834,26.08485301
2017,8,32.57686636,26.64432558
2017,9,32.78657143,26.73404341
2017,10,31.7078341,27.61700664
2017,11,30.22695238,26.58412817
2017,12,27.05013825,24.12569485
2018,1,24.04571429,21.33755452
2018,2,29.06857143,24.56267233
2018,3,32.58571429,28.7047287
2018,4,32.92,27.86450439
2018,5,32.43142857,26.59552285
2018,6,33.02285714,27.55077212
2018,7,32.27714286,25.73556287
2018,8,32.86,26.69609967
2018,9,33.38857143,27.4238218
2018,10,31.62571429,27.66907486
2018,11,30.03314286,26.55589642
2018,12,26.23714286,23.82834829
2019,1,26.98571429,23.40730591
2019,2,28.34571429,25.3295656
2019,3,31.41142857,28.0852444
2019,4,33.48285714,28.92666904
2019,5,34.41142857,29.02343348
2019,6,33.82,28.08209319
2019,7,32.41142857,25.12320506
2019,8,33.16571429,26.31332458
2019,9,32.41142857,27.15350374
2019,10,31.47228571,27.27805403
2019,11,30.04171429,27.00352115
2019,12,25.82457143,22.80603209
2020,1,24.41428571,21.54620357
2020,2,27.31142857,24.80741497
2020,3,31.87142857,28.79942104
2020,4,33.19714286,29.75876324
2020,5,33.13529412,28.83325086
2020,6,32.86,26.64075648
2020,7,32.51142857,26.24240777
2020,8,32.66857143,25.29838759
2020,9,32.83714286,26.84335154
2020,10,33.03428571,27.56098077
2020,11,30.49428571,27.0443998
2020,12,26.01714286,23.51450223
2021,1,25.86285714,22.91988446
2021,2,29.19142857,25.51086252
2021,3,33.53142857,28.81797001
2021,4,35.11714286,30.20172564
2021,5,34.29142857,30.23181315
2021,6,32.40571429,27.42823955
2021,7,32.49714286,26.00716158
2021,8,32.36857143,25.70260547
2021,9,33.15714286,27.78719689
2021,10,33.05714286,27.6671392
2021,11,30.14,26.70483321
2021,12,27.21428571,23.73220772
2022,1,24.95714286,21.84158837
2022,2,27.10285714,23.81080137
2022,3,33.31428571,29.25871076
2022,4,33.7,28.3076623
2022,5,33.25142857,27.79878115
2022,6,32.58857143,25.95091121
2022,7,33.64857143,27.15193463
2022,8,33.38285714,27.49528886
2022,9,32.87428571,27.14789304
2022,10,32.58857143,27.67187615
2022,11,30.95428571,26.81652484
2022,12,27.67142857,24.02273275
2023,1,25.93142857,22.01762467
2023,2,29.46285714,24.98517718
2023,3,32.13142857,27.32705504
2023,4,35.42857143,30.06500573
2023,5,34.52,30.11040185
2023,6,33.74285714,28.21251283
2023,7,33.88857143,26.59345987
2023,8,32.40285714,27.08405985
2023,9,33.50857143,26.76015629
2023,10,32.47142857,27.03296226
2023,11,32.99,26.70933187
2023,12,25.93142857,22.91432845
