DATE,Station,Forecasted_Temperature
01/01/2018,1,25.406621732004066
01/01/2018,2,26.124550392027675
01/01/2018,3,24.814173494173986
01/01/2018,4,25.665138880107225
01/01/2018,5,27.29767096219023
01/01/2018,6,27.134812257882484
01/01/2018,7,24.870249161218336
01/01/2018,8,25.63255195380984
01/01/2018,9,28.363205656203355
01/01/2018,10,25.430815910047336
01/01/2018,11,23.97980969621474
01/01/2018,12,25.31031268213172
01/01/2018,13,26.31951346891471
01/01/2018,14,26.93241412972124
01/01/2018,15,24.856810714958947
01/01/2018,16,25.442623611881853
01/01/2018,17,26.48790573664533
01/01/2018,18,25.42489076247009
01/01/2018,19,26.848864899883136
01/01/2018,20,25.53170491746397
01/01/2018,21,25.996003823402347
01/01/2018,22,25.574035491837115
01/01/2018,23,24.914567471336905
01/01/2018,24,26.243632239525464
01/01/2018,25,24.440958220567023
01/01/2018,26,28.049060645533302
01/01/2018,27,24.265813965309977
01/01/2018,28,26.45437635714786
01/01/2018,29,25.23222697060338
01/01/2018,30,24.44712276843015
01/01/2018,31,27.442616506040373
01/01/2018,32,25.794462633584384
01/01/2018,33,26.12791520316421
01/01/2018,34,24.962020805752587
01/01/2018,35,29.06313549631856
01/01/2019,1,25.402436315891
01/01/2019,2,26.109109400351585
01/01/2019,3,24.76069814968812
01/01/2019,4,25.666574598095
01/01/2019,5,27.32846028670665
01/01/2019,6,27.13985476755552
01/01/2019,7,24.836305002902066
01/01/2019,8,25.613361732350715
01/01/2019,9,28.389507437914585
01/01/2019,10,25.388106134116093
01/01/2019,11,23.94321490582513
01/01/2019,12,25.29564450401559
01/01/2019,13,26.30492217777033
01/01/2019,14,26.96816020521704
01/01/2019,15,24.83240005930272
01/01/2019,16,25.44174581790477
01/01/2019,17,26.508766773083835
01/01/2019,18,25.40408049115153
01/01/2019,19,26.857153423423245
01/01/2019,20,25.50888375383524
01/01/2019,21,25.98051556594169
01/01/2019,22,25.55383095252772
01/01/2019,23,24.88289049555539
01/01/2019,24,26.26126204805717
01/01/2019,25,24.40175764885121
01/01/2019,26,28.094198771146747
01/01/2019,27,24.238001550070862
01/01/2019,28,26.50720318879645
01/01/2019,29,25.172595141271067
01/01/2019,30,24.40114775675559
01/01/2019,31,27.491187934633192
01/01/2019,32,25.81346655185482
01/01/2019,33,26.160043151155044
01/01/2019,34,24.93589990584732
01/01/2019,35,29.08028377499083
01/01/2020,1,25.39825089977793
01/01/2020,2,26.09366840867549
01/01/2020,3,24.707222805202253
