Year,Month,Station,Forecasted_Temperature
2018,1,1,25.5233797776524
2018,1,2,26.3118719654511
2018,1,3,25.057786075832755
2018,1,4,26.058708502248656
2018,1,5,27.44283649731777
2018,1,6,27.142827436284577
2018,1,7,25.14160188366009
2018,1,8,25.933163108173137
2018,1,9,28.11473745708765
2018,1,10,25.684959778685997
2018,1,11,23.5194166131835
2018,1,12,25.604899047435783
2018,1,13,26.50676277051426
2018,1,14,26.897227659730497
2018,1,15,25.13547338268277
2018,1,16,25.683033502636064
2018,1,17,26.77598414077737
2018,1,18,25.669368857503432
2018,1,19,27.039523799624934
2018,1,20,25.746034588035045
2018,1,21,25.78585076484621
2018,1,22,25.832216091541284
2018,1,23,25.241071755113477
2018,1,25,24.6432197859862
2018,1,26,27.3805532687838
2018,1,27,24.10658514922955
2018,1,28,26.8945560601498
2018,1,29,25.51433945224241
2018,1,30,24.91570762956214
2018,1,31,27.390668801284694
2018,1,32,25.93287833006485
2018,1,33,25.888271160608102
2018,1,34,25.272090826483502
2018,1,35,28.66646226561175
2019,1,1,25.519194361539338
2019,1,2,26.29643097377501
2019,1,3,25.00431073134689
2019,1,4,26.06014422023643
2019,1,5,27.4736258218342
2019,1,6,27.14786994595761
2019,1,7,25.107657725343817
2019,1,8,25.91397288671401
2019,1,9,28.14103923879888
2019,1,10,25.64225000275475
2019,1,11,23.482821822793888
2019,1,12,25.590230869319665
2019,1,13,26.49217147936988
2019,1,14,26.93297373522629
2019,1,15,25.111062727026543
2019,1,16,25.682155708658986
2019,1,17,26.796845177215875
2019,1,18,25.64855858618487
2019,1,19,27.047812323165047
2019,1,20,25.72321342440632
2019,1,21,25.77036250738555
2019,1,22,25.812011552231887
2019,1,23,25.20939477933196
2019,1,25,24.632434404394143
2019,1,26,27.42569139439724
2019,1,27,24.07877273399044
2019,1,28,26.947382891798384
2019,1,29,25.4547076229101
2019,1,30,24.86973261788758
2019,1,31,27.439240229877512
2019,1,32,25.951882248335284
2019,1,33,25.92039910859894
2019,1,34,25.24596992657824
2019,1,35,28.68361054428401
2020,1,1,25.515008945426278
2020,1,2,26.280989982098923
2020,1,3,24.950835386861023
2020,1,4,26.06157993822421
2020,1,5,27.504415146350624
2020,1,6,27.152912455630645
2020,1,7,25.073713567027543
2020,1,8,25.89478266525488
2020,1,9,28.16734102051011
2020,1,10,25.599540226823503
2020,1,11,23.44622703240428
2020,1,12,25.575562691203547
2020,1,13,26.477580188225488
2020,1,14,26.968719810722096
2020,1,15,25.08665207137032
2020,1,16,25.6812779146819
2020,1,17,26.81770621365438
2020,1,18,25.627748314866302
2020,1,19,27.056100846705156
2020,1,20,25.700392260777598
2020,1,21,25.75487424992489
