Year,Month,Station,Forecasted_Temperature
2025,1,6,27.178125
2025,1,7,24.90399278
2025,1,8,25.79883156
2025,1,9,28.29884993
2025,1,10,25.38599135
2025,1,11,23.26325308
2025,1,12,25.5022218
2025,1,13,26.40462373
2025,1,14,27.14745019
2025,1,15,24.96459879
2025,1,16,25.67688894
2025,1,17,26.9220114
2025,1,18,25.52369696
2025,1,19,27.09754346
2025,1,20,25.58628644
2025,1,21,25.67743296
2025,1,22,25.69078432
2025,1,23,25.01933292
2025,1,25,24.56772211
2025,1,26,27.69652015
2025,1,27,23.91189824
2025,1,28,27.26434388
2025,1,29,25.09691665
2025,1,30,24.59388255
2025,1,31,27.7306688
2025,1,32,26.06590576
2025,1,33,26.1131668
2025,1,34,25.08924453
2025,1,35,28.78650022
2026,1,1,25.48989645
2026,1,2,26.18834403
2026,1,3,24.62998332
2026,1,4,26.07019425
2026,1,5,27.68915109
2026,1,6,27.18316751
2026,1,7,24.87004862
2026,1,8,25.77964134
2026,1,9,28.32515171
2026,1,10,25.34328157
2026,1,11,23.22665829
2026,1,12,25.48755362
2026,1,13,26.39003244
2026,1,14,27.18319626
2026,1,15,24.94018814
2026,1,16,25.67601115
2026,1,17,26.94287243
2026,1,18,25.50288669
2026,1,19,27.10583199
2026,1,20,25.56346528
2026,1,21,25.66194471
2026,1,22,25.67057978
2026,1,23,24.98765595
2026,1,25,24.55693673
2026,1,26,27.74165827
2026,1,27,23.88408583
2026,1,28,27.31717071
2026,1,29,25.03728482
2026,1,30,24.54790754
2026,1,31,27.77924023
2026,1,32,26.08490968
2026,1,33,26.14529474
2026,1,34,25.06312363
2026,1,35,28.80364849
2027,1,1,25.48571103
2027,1,2,26.17290304
2027,1,3,24.57650798
2027,1,4,26.07162996
2027,1,5,27.71994042
2027,1,6,27.18821002
2027,1,7,24.83610446
2027,1,8,25.76045112
2027,1,9,28.35145349
2027,1,10,25.3005718
2027,1,11,23.1900635
2027,1,12,25.47288544
2027,1,13,26.37544115
2027,1,14,27.21894234
2027,1,15,24.91577748
2027,1,16,25.67513336
2027,1,17,26.96373347
2027,1,18,25.48207642
2027,1,19,27.11412051
2027,1,20,25.54064412
2027,1,21,25.64645645
2027,1,22,25.65037524
2027,1,23,24.95597897
2027,1,25,24.54615135
2027,1,26,27.7867964
2027,1,27,23.85627341
2027,1,28,27.36999754
2027,1,29,24.97765299
2027,1,30,24.50193252
2027,1,31,27.82781166
2027,1,32,26.10391359
2027,1,33,26.17742269
2027,1,34,25.03700273
2027,1,35,28.82079677
2018,2,5,29.8
2018,2,1,29.8
2018,2,2,29.6
2018,2,3,28.3
2018,2,4,29.4
2018,2,6,28.7
2018,2,7,29.3
2018,2,9,29.8
2018,2,8,28
2018,2,10,29.2
2018,2,11,27.2
2018,2,12,29.5
2018,2,13,29.3
2018,2,14,28.9
2018,2,15,28.6
2018,2,16,30.3
2018,2,17,30.3
2018,2,18,30
2018,2,19,28.2
2018,2,21,29.4
2018,2,20,29.2
2018,2,22,30.2
2018,2,23,27.3
2018,2,24,30.5
2018,2,25,28.8
2018,2,26,29.5
2018,2,27,26.7
2018,2,28,29.1
2018,2,29,29.8
2018,2,31,30
2018,2,32,28.7
2018,2,30,27.3
2018,2,33,28.5
2018,2,34,28.6
2018,2,35,29.6
2019,2,5,29
2019,2,1,28.8
2019,2,2,28.5
2019,2,3,27.7
2019,2,4,28.2
2019,2,6,29
2019,2,7,28.1
2019,2,9,27.6
2019,2,8,29.6
2019,2,10,28.3
2019,2,11,26.5
2019,2,12,28.1
2019,2,13,29
2019,2,14,28.5
2019,2,15,27.8
2019,2,16,28.8
2019,2,17,29.5
2019,2,18,28.6
2019,2,19,28
2019,2,21,28.3
2019,2,20,28.3
2019,2,22,29.1
2019,2,23,27
2019,2,24,29.1
2019,2,25,27.6
2019,2,26,29
2019,2,27,26.3
2019,2,28,28.6
2019,2,29,28.3
2019,2,31,29.8
2019,2,32,28.3
2019,2,30,26.9
2019,2,33,28.3
2019,2,34,28
2019,2,35,29.6
2020,2,5,28.1
2020,2,1,27.9
2020,2,2,27.7
2020,2,3,26.7
2020,2,4,28
2020,2,6,27.2
2020,2,7,26.5
2020,2,9,28.3
2020,2,8,26.8
2020,2,10,27.4
2020,2,11,25.9
2020,2,12,27.1
2020,2,13,27.8
2020,2,14,27.2
2020,2,15,26.4
2020,2,16,27.4
2020,2,17,28.1
2020,2,18,26.9
2020,2,19,26.9
2020,2,21,27.3
2020,2,20,27.1
2020,2,22,27.4
2020,2,23,26.3
2020,2,24,28.1
2020,2,25,26.7
2020,2,26,27.9
2020,2,27,26
2020,2,28,27.7
2020,2,29,27.3
2020,2,31,28.3
2020,2,32,27.5
2020,2,30,26.6
2020,2,33,28.1
2020,2,34,26.5
2020,2,35,28.8
2021,2,5,30
2021,2,1,29.5
2021,2,2,29.5
2021,2,3,29.1
2021,2,4,29.2
2021,2,6,28.8
2021,2,7,28.8
2021,2,9,29.3
2021,2,8,29.1
2021,2,10,29.5
2021,2,11,27.9
2021,2,12,29.4
2021,2,13,29.8
2021,2,14,29
2021,2,15,28.7
2021,2,16,29.8
2021,2,17,30
2021,2,18,29.5
2021,2,19,27.7
2021,2,21,28.8
2021,2,20,28.7
2021,2,22,29.7
2021,2,23,28.3
2021,2,24,29.6
2021,2,25,29
2021,2,26,30.1
2021,2,27,28.1
2021,2,28,29.5
2021,2,29,28.8
2021,2,31,30.8
2021,2,32,29.3
2021,2,30,28.4
2021,2,33,29.5
2021,2,34,29.1
2021,2,35,29.4
2022,2,5,28.6
2022,2,1,27.9
2022,2,2,27.5
2022,2,3,25.5
2022,2,4,28
2022,2,6,27.9
2022,2,7,25.9
2022,2,9,28.6
2022,2,8,27
2022,2,10,27.1
2022,2,11,24.5
2022,2,12,26.6
2022,2,13,28.4
2022,2,14,27.3
2022,2,15,25.6
2022,2,16,27.5
2022,2,17,28.2
2022,2,18,27.2
2022,2,19,28.1
2022,2,21,27.1
2022,2,20,26.3
2022,2,22,27.8
2022,2,23,25
2022,2,24,28.1
2022,2,25,26
2022,2,26,28.5
2022,2,27,24.5
2022,2,28,28.4
2022,2,29,26.6
2022,2,31,28.5
2022,2,32,26.9
2022,2,30,25.2
2022,2,33,26.6
2022,2,34,25.9
2022,2,35,29.8
2023,2,5,29.6
2023,2,1,29.9
2023,2,2,29.9
2023,2,3,28.6
2023,2,4,29.5
2023,2,6,28.9
2023,2,7,29.5
2023,2,9,30.4
2023,2,8,28.9
2023,2,10,29.3
2023,2,11,28
2023,2,12,29.6
2023,2,13,30
2023,2,14,28.9
2023,2,15,28.9
2023,2,16,30.3
2023,2,17,30.7
2023,2,18,29.7
2023,2,19,29.1
2023,2,21,29.3
2023,2,20,28.5
2023,2,22,30.4
2023,2,23,27.9
2023,2,24,30.5
2023,2,25,29.5
2023,2,26,30.7
2023,2,27,27.7
2023,2,28,30.1
2023,2,29,29.3
2023,2,31,30.6
2023,2,32,29.6
2023,2,30,28.5
2023,2,33,29.1
2023,2,34,28.9
2023,2,35,30.9
2024,2,1,28.74527301
2024,2,2,29.49845376
2024,2,3,27.79391059
2024,2,4,29.11470403
2024,2,5,29.81814523
2024,2,6,29.57496281
2024,2,7,28.74554752
2024,2,8,28.58712413
2024,2,9,30.18396958
2024,2,10,28.58793205
2024,2,11,26.98211991
2024,2,12,28.77951428
2024,2,13,29.33228017
2024,2,14,29.59471272
2024,2,15,28.28097953
2024,2,16,29.24816174
2024,2,17,29.77375805
2024,2,18,28.90419292
2024,2,19,29.40336854
2024,2,20,29.1498929
2024,2,21,29.18459792
2024,2,22,29.2710771
2024,2,23,27.53590254
2024,2,25,28.22043436
2024,2,26,30.00320809
2024,2,27,26.798804
2024,2,28,29.63258751
2024,2,29,28.59168044
2024,2,30,27.00044633
2024,2,31,30.09195587
2024,2,32,28.82489499
2024,2,33,28.83216207
2024,2,34,28.19530674
2024,2,35,30.15844296
2025,2,1,28.77921181
2025,2,2,29.52591764
2025,2,3,27.81871816
2025,2,4,29.17013048
2025,2,5,29.88137059
2025,2,6,29.61790269
2025,2,7,28.7683831
2025,2,8,28.60935738
2025,2,9,30.24730861
2025,2,10,28.59180819
2025,2,11,26.99529791
2025,2,12,28.80891671
2025,2,13,29.36157121
2025,2,14,29.65180837
2025,2,15,28.3151766
2025,2,16,29.28381064
2025,2,17,29.82587494
2025,2,18,28.91903464
2025,2,19,29.43963826
2025,2,20,29.1616482
2025,2,21,29.22808596
2025,2,22,29.28945344
2025,2,23,27.55545358
2025,2,25,28.25782862
2025,2,26,30.06512178
2025,2,27,26.81947751
2025,2,28,29.71727363
2025,2,29,28.5736843
2025,2,30,27.00105165
2025,2,31,30.16831998
2025,2,32,28.87493043
2025,2,33,28.90628371
